JPG,X_axis, Y_axis, Width, Height, CLASS, PNG
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7001-79.jpg,0,0,171,118,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_13.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7001-97.jpg,133,8,54,248,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_14.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7001-98.jpg,212,212,44,44,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_15.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7001-225.jpg,2,0,234,256,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_16.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7001-226.jpg,180,224,76,9,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_17.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7001-236.jpg,42,80,214,140,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_18.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7001-237.jpg,0,72,256,56,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_19.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7002-9.jpg,0,37,256,93,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_20.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7002-14.jpg,0,0,216,71,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_21.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7002-27.jpg,46,0,210,131,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_22.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7002-28.jpg,0,12,256,224,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_23.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7002-32.jpg,9,0,206,253,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_24.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7002-33.jpg,0,221,55,35,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_25.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7002-34.jpg,48,6,208,153,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_26.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7002-46.jpg,2,23,126,106,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_27.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7002-47.jpg,28,0,191,248,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_28.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7002-48.jpg,199,0,57,170,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_29.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7002-49.jpg,0,165,112,91,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_30.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7002-50.jpg,110,0,146,120,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_31.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7002-63.jpg,0,118,244,138,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_32.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7002-64.jpg,99,224,39,32,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_33.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7002-66.jpg,0,56,256,200,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_34.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7002-67.jpg,0,144,256,112,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_35.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7002-81.jpg,0,90,109,47,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_36.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7002-85.jpg,76,48,42,8,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_37.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7002-86.jpg,208,187,48,69,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_38.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7002-104.jpg,84,0,171,111,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_39.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7002-176.jpg,0,4,256,76,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_40.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7002-190.jpg,0,0,250,256,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_41.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7002-212.jpg,59,3,125,253,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_42.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7003-15.jpg,150,0,97,64,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_43.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7003-16.jpg,0,102,52,60,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_44.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7003-17.jpg,52,0,25,151,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_45.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7003-18.jpg,48,0,15,55,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_46.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7003-32.jpg,119,78,92,169,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_47.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7003-33.jpg,21,66,233,190,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_48.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7003-35.jpg,2,3,138,235,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_49.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7003-36.jpg,1,0,223,256,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_50.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7003-47.jpg,48,0,106,256,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_51.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7003-50.jpg,77,0,58,256,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_52.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7003-54.jpg,63,196,193,35,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_53.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7003-68.jpg,0,207,253,44,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_54.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7003-145.jpg,0,146,256,49,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_55.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7003-210.jpg,0,13,256,239,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_56.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7003-227.jpg,197,204,39,52,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_57.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7003-229.jpg,0,0,256,207,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_58.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7003-230.jpg,0,198,64,58,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_59.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7003-231.jpg,61,0,195,122,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_60.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7003-233.jpg,0,115,68,141,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_61.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7004-10.jpg,65,0,109,256,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_62.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7004-25.jpg,165,0,91,79,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_63.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7004-28.jpg,0,73,218,183,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_64.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7004-33.jpg,147,208,109,48,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_65.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7004-39.jpg,39,192,113,52,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_66.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7004-46.jpg,144,143,56,14,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_67.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7004-60.jpg,227,120,29,109,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_68.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7004-61.jpg,215,0,41,36,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_69.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7004-62.jpg,0,31,256,221,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_70.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7004-63.jpg,0,33,256,195,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_71.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7004-64.jpg,0,120,256,136,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_72.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7004-65.jpg,0,0,209,124,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_73.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7004-74.jpg,37,118,148,138,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_74.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7004-75.jpg,55,0,185,202,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_75.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7004-76.jpg,0,0,44,225,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_76.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7004-77.jpg,12,0,125,256,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_77.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7004-78.jpg,245,25,11,30,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_78.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7004-83.jpg,4,16,29,71,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_79.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7004-84.jpg,131,0,84,111,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_80.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7004-91.jpg,221,0,5,17,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_81.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7004-92.jpg,132,0,103,245,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_82.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7004-93.jpg,64,2,89,144,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_83.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7004-102.jpg,198,0,50,205,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_84.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7004-112.jpg,121,58,54,198,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_85.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7004-120.jpg,152,157,8,17,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_86.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7004-121.jpg,45,83,93,109,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_87.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7004-122.jpg,51,223,13,33,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_88.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7004-125.jpg,0,52,38,84,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_89.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7004-126.jpg,149,1,63,226,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_90.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7004-127.jpg,237,52,12,31,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_91.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7004-128.jpg,0,0,61,226,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_92.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7004-140.jpg,156,171,5,6,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_93.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7004-141.jpg,60,4,196,221,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_94.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7004-142.jpg,0,216,77,40,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_95.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7004-143.jpg,47,0,162,254,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_96.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7004-157.jpg,242,143,9,18,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_97.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7004-160.jpg,156,45,66,176,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_98.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7004-161.jpg,0,0,256,213,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_99.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7004-166.jpg,170,40,70,216,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_100.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7004-167.jpg,8,45,50,91,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_101.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7004-175.jpg,237,0,19,19,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_102.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7004-179.jpg,0,16,213,240,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_103.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7004-193.jpg,32,68,182,188,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_104.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7004-197.jpg,209,0,47,26,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_105.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7005-8.jpg,0,17,252,238,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_106.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7005-9.jpg,22,186,68,70,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_107.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7005-26.jpg,202,194,54,62,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_108.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7005-27.jpg,0,0,212,250,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_109.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7005-44.jpg,94,77,125,42,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_110.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7005-61.jpg,203,60,29,10,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_111.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7005-62.jpg,24,109,114,147,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_112.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7005-75.jpg,27,0,89,256,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_113.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7005-76.jpg,173,208,51,48,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_114.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7005-77.jpg,83,28,173,190,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_115.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7005-78.jpg,0,0,204,256,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_116.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7005-79.jpg,134,3,43,136,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_117.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7005-80.jpg,152,23,71,151,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_118.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7005-81.jpg,2,96,254,160,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_119.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7005-82.jpg,152,154,104,102,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_120.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7005-91.jpg,0,0,228,162,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_121.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7005-93.jpg,29,5,131,251,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_122.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7005-100.jpg,55,12,201,244,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_123.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7005-118.jpg,15,172,24,36,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_124.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7005-119.jpg,1,38,255,141,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_125.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7005-137.jpg,1,177,255,66,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_126.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7005-138.jpg,0,127,256,129,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_127.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7005-139.jpg,18,77,220,39,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_128.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7005-141.jpg,0,1,114,76,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_129.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7005-142.jpg,81,0,72,239,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_130.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7005-143.jpg,0,41,223,61,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_131.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7005-155.jpg,139,4,7,8,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_132.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7005-156.jpg,225,25,31,8,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_133.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7005-157.jpg,35,16,60,7,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_134.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7005-158.jpg,112,0,144,92,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_135.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7005-173.jpg,84,0,74,256,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_136.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7005-176.jpg,115,2,112,143,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_137.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7005-177.jpg,50,61,206,80,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_138.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7005-191.jpg,28,0,65,251,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_139.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7005-195.jpg,0,0,40,67,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_140.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7006-5.jpg,0,93,23,31,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_141.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7006-6.jpg,200,0,50,58,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_142.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7006-23.jpg,2,57,62,54,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_143.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7006-41.jpg,0,19,106,237,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_144.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7006-59.jpg,111,2,97,201,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_145.png
C:\Users\USER\Downloads\SDNET2018\Dosun\Crack\7006-73.jpg,0,87,208,169,crack,C:\Users\USER\Downloads\SDNET2018\Dosun\PixelLabelDatadosun\Label_146.png
